anio,tipo_precio,unidad_medida,categoria_detalle,valor_millones_pesos
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Agencias de viajes y otros servicios de reserva,2131.057
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de apoyo,375.202
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios culturales,3453.946
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios deportivos y recreativos,4092.952
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes,43330.411
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en establecimientos tradicionales,7133.232
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en propiedad de casas de vacaciones,6259.129
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en casa de familiares y amigos (imputación),29938.05
1995,corrientes,Millones de pesos a precios corrientes,"Total del país|Total turístico|Servicios|Restaurantes, bares y centros nocturnos<C1>",52391.405
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios,63150.019
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Comercio turístico,29417.928
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Transporte local,4653.16
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de información,390.594
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios financieros,671.114
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios inmobiliarios y de alquiler,5764.74
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios profesionales,102.38
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de salud,6036.754
1995,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Productos no destinados al consumo y otros,16113.349
1996,corrientes,Millones de pesos a precios corrientes,Total del país,3162149.56
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico,305359.735
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes,48298.294
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Artesanías,16395.875
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Otros bienes,31902.419
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios,257061.441
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte aéreo de pasajeros,4551.51
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por ferrocarril,331.458
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por agua,1230.848
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por carretera,33991.614
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios relacionados con el transporte,3128.378
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alquiler de equipos de transporte,524.293
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Agencias de viajes y otros servicios de reserva,3371.741
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de apoyo,512.409
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios culturales,4430.416
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios deportivos y recreativos,4360.838
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes,55459.277
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en establecimientos tradicionales,9297.195
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en propiedad de casas de vacaciones,7454.582
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en casa de familiares y amigos (imputación),38707.5
1996,corrientes,Millones de pesos a precios corrientes,"Total del país|Total turístico|Servicios|Restaurantes, bares y centros nocturnos<C1>",66326.161
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios,78842.498
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Comercio turístico,37069.127
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Transporte local,6994.639
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de información,526.718
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios financieros,789.664
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios inmobiliarios y de alquiler,7179.894
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios profesionales,164.394
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de salud,7194.687
1996,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Productos no destinados al consumo y otros,18923.375
1997,corrientes,Millones de pesos a precios corrientes,Total del país,3969264.756
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico,366596.736
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes,42127.163
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Artesanías,18976.231
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Otros bienes,23150.932
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios,324469.573
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte aéreo de pasajeros,6029.359
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por ferrocarril,483.231
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por agua,1249.916
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por carretera,46071.565
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios relacionados con el transporte,3862.921
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alquiler de equipos de transporte,651.588
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Agencias de viajes y otros servicios de reserva,4694.275
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de apoyo,691.114
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios culturales,5987.179
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios deportivos y recreativos,5283.378
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes,68232.12
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en establecimientos tradicionales,12169.285
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en propiedad de casas de vacaciones,8688.413
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alojamiento para visitantes|Alojamiento en casa de familiares y amigos (imputación),47374.422
1997,corrientes,Millones de pesos a precios corrientes,"Total del país|Total turístico|Servicios|Restaurantes, bares y centros nocturnos<C1>",86076.83
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios,95156.097
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Comercio turístico,44517.139
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Transporte local,8599.846
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de información,697.687
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios financieros,924.899
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios inmobiliarios y de alquiler,8404.405
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios profesionales,169.157
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Servicios de salud,8858.301
1997,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Otros servicios|Productos no destinados al consumo y otros,22984.663
1998,corrientes,Millones de pesos a precios corrientes,Total del país,4854757.577
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico,445687.935
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes,42369.336
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Artesanías,22031.941
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Bienes|Otros bienes,20337.395
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios,403318.599
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte aéreo de pasajeros,7094.236
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por ferrocarril,567.424
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por agua,1539.039
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de transporte de pasajeros por carretera,58747.068
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios relacionados con el transporte,5115.883
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de alquiler de equipos de transporte,933.077
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Agencias de viajes y otros servicios de reserva,5900.293
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios de apoyo,917.051
1998,corrientes,Millones de pesos a precios corrientes,Total del país|Total turístico|Servicios|Servicios culturales,7241.42
